O_SA2_NAME11,D_SA2_NAME11,persons,increase_in_travel_time,distance,extra_minutes,lat_orig,lon_orig,dist_orig2CBD,lat_dest,lon_dest,dist_dest2CBD,bearing_rad,bearing,distance2CBD,lat,lon,xend,yend,total_commuters_from,point_size_identity,size_segment,avg_extra_mins,distance_group
Elsternwick,Caulfield - South,64,0.096875,2.18377777777778,0.516666666666667,-37.8866257832143,145.007367637143,8.37608660237134,-37.8913691574419,145.026368861163,9.63675808848271,-1.32616104078808,-75.9834305918336,9.00642234542702,-37.8889974703281,145.016868249153,145.016868249153,-37.8889974703281,1563,1.4399842063701,0.208459387574166,8.19233312006825,"(-Inf,5]"
Armadale,Toorak,46,0.101307189542484,2.35622222222222,0.516666666666667,-37.8572927531579,145.019771685263,6.31434193911189,-37.8422599778125,145.016078626562,5.02422801460908,2.90069612948114,166.197645869203,5.66928497686048,-37.8497763654852,145.017925155913,145.017925155913,-37.8497763654852,1175,1.08252171624112,0.149830184818932,5.42689361702128,"(-Inf,5]"
South Yarra - West,Albert Park,38,0.0415584415584416,2.976,0.533333333333333,-37.8369193971429,144.982264809286,2.45054848021533,-37.8458417618182,144.961000840606,3.14005380732962,1.17350826758118,67.2370709561105,2.79530114377248,-37.8413805794806,144.971632824946,144.971632824946,-37.8413805794806,612,0.563832587523032,0.123772761372161,4.75200163398693,"(-Inf,5]"
St Kilda East,Elwood,25,0.0642292490118577,2.51288888888889,0.541666666666667,-37.8668936202564,144.998685951282,6.06770716514806,-37.88012693225,144.9856977465,7.07440865868294,0.776050875245982,44.4644398390283,6.5710579119155,-37.8735102762532,144.992191848891,144.992191848891,-37.8735102762532,2387,2.19913135035536,0.0814294482711587,8.16477796397151,"(-Inf,5]"
Caulfield - North,Elwood,34,0.0487987987987988,3.92488888888889,0.541666666666667,-37.8721286176364,145.019590721455,7.53784779924387,-37.88012693225,144.9856977465,7.07440865868294,1.33904885963107,76.7218482186658,7.3061282289634,-37.8761277749432,145.002644233977,145.002644233977,-37.8761277749432,2319,2.13648328507502,0.110744049648776,5.35329883570505,"(-Inf,5]"
Coburg North,Coburg,80,0.0626185958254269,2.81133333333333,0.55,-37.7266903755556,144.966773473889,10.1654462381249,-37.7449590106667,144.962150977833,8.14848566655979,0.247827530007662,14.1994715165908,9.15696595234234,-37.7358246931112,144.964462225861,144.964462225861,-37.7358246931112,428,0.394314293235062,0.260574234467708,6.54501557632399,"(-Inf,5]"
Southbank,Laverton,24,0.0260700389105058,19.4863333333333,0.558333333333333,-37.8253100678571,144.963518120357,0.882244806193993,-37.8527976092308,144.773751941538,17.4662790901407,1.42694728200946,81.7580568468059,9.17426194816735,-37.839053838544,144.868635030948,144.868635030948,-37.839053838544,927,0.854040536983417,0.0781722703403123,3.26910284070478,"(10,20]"
Brunswick West,Coburg,57,0.0721649484536082,3.69311111111111,0.583333333333333,-37.7635502270968,144.943012821935,6.44357174994118,-37.7449590106667,144.962150977833,8.14848566655979,-2.34169912155124,-134.169476554379,7.29602870825049,-37.7542546188817,144.952581899884,144.952581899884,-37.7542546188817,1773,1.63345617267702,0.185659142058242,7.15520774581688,"(-Inf,5]"
Southbank,Mount Waverley - South,21,0.0290322580645161,20.6323333333333,0.6,-37.8253100678571,144.963518120357,0.882244806193993,-37.8864399546341,145.125891255366,15.8292184543349,-1.21073064787132,-69.3697562501665,8.35573163026443,-37.8558750112456,145.044704687862,145.044704687862,-37.8558750112456,927,0.854040536983417,0.0684007365477733,3.26910284070478,"(20, Inf]"
South Yarra - East,Prahran - Windsor,57,0.076271186440678,1.832,0.6,-37.8402598080645,144.995297386774,3.45388538697645,-37.8528638282927,144.998128487805,4.69708751091048,-0.220951666602761,-12.6595979727199,4.07548644894347,-37.8465618181786,144.996712937289,144.996712937289,-37.8465618181786,1719,1.58370623848381,0.185659142058242,6.65142524723677,"(-Inf,5]"
Collingwood,Abbotsford,26,0.0889423076923077,1.33977777777778,0.616666666666667,-37.8011811164286,144.988381484286,2.61411270951952,-37.8044854945455,144.998234181818,3.07813785498084,-1.24720669124357,-71.4596795887327,2.84612528225018,-37.8028333054871,144.993307833052,144.993307833052,-37.8028333054871,394,0.362990260594893,0.084686626202005,6.16049069373942,"(-Inf,5]"
Keilor East,Moonee Ponds,197,0.047741935483871,6.39744444444444,0.616666666666667,-37.7506925470968,144.863598473548,11.8294244343643,-37.76550642625,144.920183736875,7.18788811887892,-1.31474534540085,-75.3293594259386,9.50865627662161,-37.7580994866734,144.891891105212,144.891891105212,-37.7580994866734,2205,2.03145564622269,0.64166405237673,8.45462207105064,"(5,10]"
Albert Park,Port Melbourne,52,0.0772442588726514,3.48344444444444,0.616666666666667,-37.8458417618182,144.961000840606,3.14005380732962,-37.8385923709091,144.937216997576,3.5171766822414,1.86665385926559,106.951387947726,3.32861524478551,-37.8422170663636,144.949108919091,144.949108919091,-37.8422170663636,1842,1.69702553303501,0.16937325240401,4.64995928338762,"(-Inf,5]"
Armadale,Albert Park,47,0.041304347826087,6.92466666666667,0.633333333333333,-37.8572927531579,145.019771685263,6.31434193911189,-37.8458417618182,144.961000840606,3.14005380732962,1.7632267716414,101.02545233953,4.72719787322075,-37.8515672574881,144.990386262935,144.990386262935,-37.8515672574881,1175,1.08252171624112,0.153087362749778,5.42689361702128,"(5,10]"
Prahran - Windsor,Albert Park,85,0.0475030450669915,5.19844444444444,0.65,-37.8528638282927,144.998128487805,4.69708751091048,-37.8458417618182,144.961000840606,3.14005380732962,1.75772143123492,100.710019569456,3.91857065912005,-37.8493527950555,144.979564664206,144.979564664206,-37.8493527950555,2531,2.33179784153725,0.27686012412194,6.31598182536547,"(5,10]"
Port Melbourne,Keilor,38,0.0251752708731676,24.5802222222222,0.658333333333333,-37.8385923709091,144.937216997576,3.5171766822414,-37.7168960757692,144.836042421154,16.1445162311559,2.44801453739189,140.260901179226,9.83084645669866,-37.7777442233392,144.886629709365,144.886629709365,-37.7777442233392,2061,1.8987891550408,0.123772761372161,4.41834061135371,"(20, Inf]"
Altona North,Seddon - Kingsville,11,0.0528781793842035,5.97855555555556,0.658333333333333,-37.833761955,144.849617844062,10.518908516968,-37.8076187326316,144.886227384211,7.25408422266741,-2.19092915602936,-125.530993852642,8.88649636981772,-37.8206903438158,144.867922614137,144.867922614137,-37.8206903438158,933,0.859568307449329,0.0358289572393098,5.26750625223294,"(5,10]"
Albert Park,South Yarra - West,61,0.0507712082262211,2.973,0.658333333333333,-37.8458417618182,144.961000840606,3.14005380732962,-37.8369193971429,144.982264809286,2.45054848021533,-1.96808438600861,-112.76292904389,2.79530114377248,-37.8413805794806,144.971632824946,144.971632824946,-37.8413805794806,1842,1.69702553303501,0.198687853781627,4.64995928338762,"(-Inf,5]"
Docklands,Altona North,13,0.0398009950248756,11.7423333333333,0.666666666666667,-37.8186890657143,144.9439032,2.09397376403877,-37.833761955,144.849617844062,10.518908516968,1.41227310243697,80.9172882894851,6.3064411405034,-37.8262255103572,144.896760522031,144.896760522031,-37.8262255103572,392,0.361147670439589,0.0423433131010025,4.13550170068027,"(10,20]"
Surrey Hills (West) - Canterbury,Hawthorn,164,0.0503778337531486,5.22311111111111,0.666666666666667,-37.8245869874419,145.084853335814,10.312781026281,-37.8233558393617,145.032100191064,5.68405286652872,1.59412999990258,91.3369209896082,7.99841694640484,-37.8239714134018,145.058476763439,145.058476763439,-37.8239714134018,1451,1.33679915767307,0.534177180658801,6.39237307603951,"(5,10]"
Port Melbourne,Brighton East,12,0.0288667141838917,12.8432222222222,0.675,-37.8385923709091,144.937216997576,3.5171766822414,-37.9154014802632,145.016005586842,11.6189662557276,-0.798119258574426,-45.728865064425,7.56807146898449,-37.8769969255862,144.976611292209,144.976611292209,-37.8769969255862,2061,1.8987891550408,0.0390861351701562,4.41834061135371,"(10,20]"
