O_SA2_NAME11,D_SA2_NAME11,persons,increase_in_travel_time,distance,extra_minutes,lat_orig,lon_orig,dist_orig2CBD,lat_dest,lon_dest,dist_dest2CBD,bearing_rad,bearing,distance2CBD,lat,lon,distance_group
Kings Park (Vic.),Melton,16,0.00472533963378618,24.0391111111111,0.133333333333333,-37.7386514906061,144.77020110303,19.479139302917,-37.671096485,144.584726525556,37.4341796439234,-1.2215030194655,-69.9869676778595,28.4566594734202,-37.7048739878031,144.677463814293,"(20, Inf]"
Mooroolbark,Mount Evelyn,77,0.0134003350083752,6.24422222222222,0.133333333333333,-37.7787531142553,145.323085834043,31.5277648412757,-37.7865629503846,145.382094864615,36.5739628777282,1.70238142670202,97.5392708714857,34.050863859502,-37.78265803232,145.352590349329,"(5,10]"
Pascoe Vale South,Niddrie - Essendon West,14,0.0123839009287926,7.41644444444445,0.133333333333333,-37.7439227441667,144.938836859167,8.63093681830933,-37.7423617476471,144.885436101176,11.1016555622354,-1.54157291901197,-88.3256220710488,9.86629619027237,-37.7431422459069,144.912136480172,"(5,10]"
Southbank,Sunshine West,12,0.00661157024793388,20.103,0.133333333333333,-37.8253100678571,144.963518120357,0.882244806193993,-37.7944862204444,144.810065714,14.0982656621366,-1.3725652296066,-78.6421947628631,7.49025523416532,-37.8098981441508,144.886791917179,"(20, Inf]"
Altona North,Truganina,18,0.00772200772200772,13.2463333333333,0.133333333333333,-37.833761955,144.849617844062,10.518908516968,-37.847031507,144.729554263,21.1630384912112,-1.68087063643574,-96.3067933752363,15.8409735040896,-37.840396731,144.789586053531,"(10,20]"
Sunshine West,Ardeer - Albion,31,0.0174757281553398,4.58144444444444,0.15,-37.7944862204444,144.810065714,14.0982656621366,-37.7793185794737,144.813504730526,14.2205613076376,0.222964062285603,12.7748997520571,14.1594134848871,-37.7869023999591,144.811785222263,"(-Inf,5]"
Chirnside Park,Bayswater North,136,0.00872093023255814,9.83466666666667,0.15,-37.7530160396,145.3155157572,31.4081219265635,-37.8294016476667,145.289829220333,28.3187330422226,-2.81719733356154,-161.413517268585,29.8634274843931,-37.7912088436334,145.302672488767,"(5,10]"
Mooroolbark,Chirnside Park,263,0.0200445434298441,3.63222222222222,0.15,-37.7787531142553,145.323085834043,31.5277648412757,-37.7530160396,145.3155157572,31.4081219265635,-0.286063922357505,-16.3902554220431,31.4679433839196,-37.7658845769277,145.319300795622,"(-Inf,5]"
Moonee Ponds,Keilor East,24,0.0121621621621622,6.39855555555556,0.15,-37.76550642625,144.920183736875,7.18788811887892,-37.7506925470968,144.863598473548,11.8294244343643,-1.31474534540085,-75.3293594259386,9.50865627662161,-37.7580994866734,144.891891105212,"(5,10]"
Strathmore,Gladstone Park - Westmeadows,12,0.0120772946859903,10.8108888888889,0.166666666666667,-37.731921015,144.915215216364,10.6370559022007,-37.6823422158333,144.891958654583,16.5009599939906,-0.438609370472363,-25.1304657829564,13.5690079480956,-37.7071316154167,144.903586935474,"(10,20]"
