O_SA2_NAME11,D_SA2_NAME11,persons,increase_in_travel_time,distance,extra_minutes,lat_orig,lon_orig,dist_orig2CBD,lat_dest,lon_dest,dist_dest2CBD,bearing_rad,bearing,distance2CBD,lat,lon,xend,yend,total_commuters_from,point_size_identity,size_segment,avg_extra_mins,distance_group
Mooroolbark,Chirnside Park,263,0.0378619153674833,3.63222222222222,0.283333333333333,-37.7787531142553,145.323085834043,31.5277648412757,-37.7530160396,145.3155157572,31.4081219265635,2.85552873123229,163.609744577957,31.4679433839196,-37.7658845769277,145.319300795622,145.3155157572,-37.7530160396,4734,2.90531299316149,0.896503235233883,8.48470637938319,"(-Inf,5]"
Sydenham,Taylors Lakes,173,0.0329457364341085,2.72977777777778,0.283333333333333,-37.7007808785185,144.764919603704,22.0923828889003,-37.6982878481633,144.787935292041,20.6721765162261,-1.67869439129345,-96.1821037133974,21.3822797025632,-37.6995343633409,144.776427447873,144.787935292041,-37.6982878481633,2246,1.3783973347361,0.589715055876281,8.52580513505491,"(-Inf,5]"
Templestowe Lower,Bulleen,95,0.0520833333333333,2.69422222222222,0.291666666666667,-37.7652709060606,145.113767066364,14.1133826660313,-37.7689005064286,145.091523241071,12.1761498896409,1.40904842703327,80.7325279985535,13.1447662778361,-37.7670857062446,145.102645153718,145.091523241071,-37.7689005064286,2535,1.55576012624934,0.323831967099692,8.84329717291256,"(-Inf,5]"
Wattle Glen - Diamond Creek,Eltham,214,0.0204081632653061,6.34844444444445,0.3,-37.6734107744118,145.157294185,23.1663202346548,-37.7094983478333,145.1544939715,20.3807718780652,0.0774397789707028,4.43697250144722,21.77354605636,-37.6914545611226,145.15589407825,145.1544939715,-37.7094983478333,3133,1.92275995090303,0.729474115361411,8.76941163953612,"(5,10]"
Mount Dandenong - Olinda,Knoxfield - Scoresby,94,0.0120080053368913,17.3824444444444,0.3,-37.8639481015625,145.366531689062,35.3886823695331,-37.8899692435294,145.238525795588,25.0818780269024,1.37024813954051,78.5094352813244,30.2352801982178,-37.876958672546,145.302528742325,145.238525795588,-37.8899692435294,1494,0.916885849552867,0.320423209551274,6.45194109772423,"(10,20]"
Meadow Heights,Roxburgh Park - Somerton,120,0.0338983050847458,4.90588888888889,0.3,-37.6508287413333,144.919277931333,19.082312147847,-37.6251263270213,144.926135961277,21.7681294105076,-2.88084305464406,-165.060148470681,20.4252207791773,-37.6379775341773,144.922706946305,144.926135961277,-37.6251263270213,1683,1.03287743293004,0.409050905810137,4.56369578134284,"(-Inf,5]"
Cranbourne West,Cranbourne,153,0.0736434108527132,2.09455555555556,0.316666666666667,-38.10057273,145.2593139965,40.4968788335478,-38.1026933755,145.27630451375,41.6319642616813,-1.44662499184817,-82.8855065710473,41.0644215476146,-38.10163305275,145.267809255125,145.27630451375,-38.1026933755,1588,0.974574785200772,0.521539904907924,11.857892527288,"(-Inf,5]"
Reservoir - East,Heidelberg West,100,0.0274963820549928,5.49388888888889,0.316666666666667,-37.7153811956897,145.02125139931,12.3534956332485,-37.743993658125,145.04721493875,10.8032754486997,-0.736899817166773,-42.2212494476181,11.5783855409741,-37.7296874269074,145.03423316903,145.04721493875,-37.743993658125,3424,2.10135016657899,0.340875754841781,9.6605992017134,"(5,10]"
Cairnlea,Sunshine West,77,0.0264550264550265,8.23988888888889,0.333333333333333,-37.7588593594737,144.785734519474,17.2966714189957,-37.7944862204444,144.810065714,14.0982656621366,-0.599187866731733,-34.3309358991755,15.6974685405662,-37.7766727899591,144.797900116737,144.810065714,-37.7944862204444,1629,0.99973698053656,0.262474331228171,6.10218436668713,"(5,10]"
Newport,Yarraville,102,0.0416666666666667,2.82022222222222,0.333333333333333,-37.8394407057143,144.879472820952,8.10626109726516,-37.8168796034375,144.882967158438,7.44689832853633,-2.98793033859329,-171.195797880491,7.77657971290075,-37.8281601545759,144.881219989695,144.882967158438,-37.8168796034375,2934,1.80063124671226,0.347693269938616,4.75459838673029,"(-Inf,5]"
