City,time_of_day_exact,increase_in_travel_time
Melbourne,8.37973684210526,0.286465014807057
Melbourne,8.63078947368421,0.264290628544307
Melbourne,8.88184210526316,0.236858294043515
Melbourne,9.13289473684211,0.210207017703483
Melbourne,9.38394736842105,0.187710695684738
Melbourne,9.635,0.172313104504265
Melbourne,9.88605263157895,0.159980922298911
Melbourne,10.1371052631579,0.150800794698419
Melbourne,10.3881578947368,0.144434365857179
Melbourne,10.6392105263158,0.139703648594447
Melbourne,10.8902631578947,0.136109733170277
Melbourne,11.1413157894737,0.133499893556989
Melbourne,11.3923684210526,0.131326125981473
Melbourne,11.6434210526316,0.129816441901472
Melbourne,11.8944736842105,0.128671638517229
Melbourne,12.1455263157895,0.127691768053275
Melbourne,12.3965789473684,0.126916481145167
Melbourne,12.6476315789474,0.126260476412355
Melbourne,12.8986842105263,0.125934858745049
Melbourne,13.1497368421053,0.125976778896543
Melbourne,13.4007894736842,0.126197340348338
Melbourne,13.6518421052632,0.127301190753941
Melbourne,13.9028947368421,0.130305095933741
Melbourne,14.1539473684211,0.135730589721106
Melbourne,14.405,0.142526735006024
Melbourne,14.6560526315789,0.152679146868164
Melbourne,14.9071052631579,0.165007178396975
Melbourne,15.1581578947368,0.179985984685477
Melbourne,15.4092105263158,0.198813195507431
Melbourne,15.6602631578947,0.21757155356561
Melbourne,15.9113157894737,0.229884241227287
Melbourne,16.1623684210526,0.238363150666688
Melbourne,16.4134210526316,0.244035848458219
Melbourne,16.6644736842105,0.248569239869587
Melbourne,16.9155263157895,0.254596795533447
Melbourne,17.1665789473684,0.257943189576596
Melbourne,17.4176315789474,0.25277354840369
Melbourne,17.6686842105263,0.238393422838013
Melbourne,17.9197368421053,0.209507663163363
Melbourne,18.1707894736842,0.180467797272465
Melbourne,18.4218421052632,0.154213475424305
Melbourne,18.6728947368421,0.131549192826299
Melbourne,18.9239473684211,0.113551522361995
Melbourne,19.175,0.0995917544612153
Melbourne,19.4260526315789,0.0924294146958099
Melbourne,19.6771052631579,0.0859114781550847
Melbourne,19.9281578947368,0.0879941279572329
Melbourne,20.1792105263158,0.0907955051843732
Melbourne,20.4302631578947,0.0928722848146222
Melbourne,20.6813157894737,0.0958001992628905
Melbourne,20.9323684210526,0.0992885460279113
Melbourne,21.1834210526316,0.102848002608512
Melbourne,21.4344736842105,0.105137191526603
Melbourne,21.6855263157895,0.106271759397262
Melbourne,21.9365789473684,0.106631792678562
Melbourne,22.1876315789474,0.106453514704663
Melbourne,22.4386842105263,0.106074467309543
Melbourne,22.6897368421053,0.105486510039691
Melbourne,22.9407894736842,0.104809549468277
Melbourne,23.1918421052632,0.104128623320127
Melbourne,23.4428947368421,0.103309022049913
Melbourne,23.6939473684211,0.102469335638002
Melbourne,23.945,0.101548575944596
