O_SA2_NAME11,D_SA2_NAME11,persons,increase_in_travel_time,distance,extra_minutes,lat_orig,lon_orig,dist_orig2CBD,lat_dest,lon_dest,dist_dest2CBD,bearing_rad,bearing,distance2CBD,lat,lon,xend,yend,total_commuters_from,avg_extra_mins,distance_group
Woollahra,Pyrmont - Ultimo,42,0.214849921011058,6.031375,2.26666666666667,-33.8871218123529,151.243578218824,3.91703058225421,-33.8734214420513,151.194976348718,1.09450620366217,1.84555655785557,105.742601617816,2.50576839295819,-33.8802716272021,151.219277283771,151.197290723485,-33.8740738406371,954,3.59201607267645,"(5,10]"
Leichhardt - Annandale,Canterbury (North) - Ashbury,11,0.204341317365269,5.6735625,2.275,-33.8814790756364,151.161922768545,4.27441141879736,-33.9064027380769,151.123088498077,8.6587157796078,1.00021036439075,57.3078325048324,6.46656359920258,-33.8939409068567,151.142505633311,151.124937749052,-33.9052158970083,4471,7.21279728621487,"(5,10]"
Bondi - Tamarama - Bronte,Double Bay - Bellevue Hill,133,0.275201612903226,3.6385625,2.275,-33.8983224770213,151.26436289766,6.19960290439959,-33.8782889714035,151.249404786491,4.08019130337237,2.50023597557811,143.252969187399,5.13989710388598,-33.8883057242124,151.256883842076,151.250117077499,-33.8792429478615,2936,6.40523671662125,"(-Inf,5]"
Cherrybrook,Dural - Kenthurst - Wisemans Ferry,256,0.148047722342733,13.5280625,2.275,-33.723704450625,151.039539225781,22.4341055492573,-33.6297421313793,150.997822923966,32.9739052331845,2.72376590451179,156.060290710159,27.7040053912209,-33.6767232910022,151.018681074873,150.999809414529,-33.6342165275339,4620,8.39389971139971,"(10,20]"
Blaxland - Warrimoo - Lapstone,Erskine Park,32,0.0990566037735849,24.9775625,2.275,-33.7470026284314,150.621077203529,55.7783327462356,-33.805257031,150.802907569,37.9499386315251,-1.26075076237277,-72.2356977018607,46.8641356888804,-33.7761298297157,150.711992386265,150.794248980168,-33.8024830118301,3876,4.02099458204334,"(20, Inf]"
Campbelltown - Woodbine,Ingleburn - Denham Court,284,0.187242798353909,8.88757142857143,2.275,-34.0636695397436,150.817790663333,41.7769219010106,-34.00062399,150.865624363409,34.6011657196723,-2.49253627252391,-142.81180869889,38.1890438103415,-34.0321467648718,150.841707513371,150.863346568167,-34.0036261590354,2092,4.86495379222435,"(5,10]"
The Oaks - Oakdale,Kingswood - Werrington,11,0.0546,44.5934285714286,2.275,-34.05819709,150.569110260833,62.3602725539404,-33.7638584458974,150.735691759744,45.0559722502996,-2.62658488756013,-150.492228590039,53.70812240212,-33.9110277679487,150.652401010289,150.727759307415,-33.7778745718071,1779,3.51268034476298,"(20, Inf]"
Lethbridge Park - Tregear,Rooty Hill - Minchinbury,171,0.208079268292683,8.2724375,2.275,-33.7348479985366,150.79878408439,40.5531276354066,-33.779179781875,150.837819555625,35.5120534325207,-0.721953541777601,-41.3648909483783,38.0325905339637,-33.7570138902058,150.818301820008,150.835960723661,-33.7770687445732,1834,4.12388222464558,"(5,10]"
Belmore - Belfield,Ashfield,51,0.172979797979798,6.0954375,2.28333333333333,-33.9147251551163,151.088430219535,11.9407815391532,-33.8880712430189,151.12626156717,7.64180900849245,-2.18456656457449,-125.166444215512,9.79129527382285,-33.9013981990676,151.107345893352,151.124460074425,-33.8893404769283,2846,7.90608749121574,"(5,10]"
Ingleburn - Denham Court,Cobbitty - Leppington,32,0.126151012891344,16.3306666666667,2.28333333333333,-34.00062399,150.865624363409,34.6011657196723,-33.974439375,150.76806066,42.0544327243301,1.83300209745542,105.023284022823,38.3277992220012,-33.9875316825,150.816842511705,150.772706550639,-33.9756862614286,2308,6.03782856730214,"(10,20]"
Punchbowl,Holsworthy - Wattle Grove,14,0.158198614318707,14.6769375,2.28333333333333,-33.929210758125,151.052379025625,15.6357091837873,-33.956400166,150.9498170364,25.5234820547684,1.31165511485016,75.1523022576614,20.5795956192778,-33.9428054620625,151.001098031012,150.954700940649,-33.9551054322917,2184,9.53162011599512,"(10,20]"
Blacktown (South),Horsley Park - Kemps Creek,12,0.139795918367347,15.83325,2.28333333333333,-33.7819139687302,150.898980594921,30.0394279988588,-33.8532361375,150.82343963,35.3978431257287,0.814116305179164,46.6454283195506,32.7186355622938,-33.8175750531151,150.861210112461,150.827036818806,-33.8498398437491,4778,5.27473489605135,"(10,20]"
Winston Hills,North Parramatta,80,0.242049469964664,6.1553125,2.28333333333333,-33.7767836203846,150.980468171538,23.3088923489528,-33.8044869198,151.0106842764,19.491825709889,-0.82875549257066,-47.4841919725845,21.4003590294209,-33.7906352700923,150.995576223969,151.009245414264,-33.8031677150659,2094,3.94569006685769,"(5,10]"
