orig_Suburb,dest_Suburb,free_flow,avg_trip_time_in_am_peak,avg_pc_increase_travel_time,sd_peak_duration,P20,P80
Williamstown,Melbourne Uni,22.0666666666667,34.2466360856269,0.551962360375842,4.13682696577161,30.9033333333333,37.0333333333333
Truganina,West Melbourne Port,23.2666666666667,34.1537800687285,0.467927510117272,3.76838894465041,29.6566666666667,37.3433333333333
Coburg,CBD,19.6833333333333,33.6507788161994,0.709607729866183,3.26430120939025,30.6566666666667,36.3433333333333
CBD,Hoppers Crossing,27.8,33.2233644859813,0.195085053452565,2.11633714541575,31.7833333333333,34.1466666666667
CBD,Melbourne Airport,25.1,33.2146417445483,0.3232924997828,2.53342199269757,30.6533333333333,35.93
Frankston,Clayton,24.7833333333333,32.7238532110092,0.320397574082415,3.73282167388631,28.8,35.2
Preston,Box Hill,23.3333333333333,32.5746177370031,0.39605504587156,2.19572348605496,30.6933333333333,34.12
Essendon,Collingwood,19.5333333333333,32.5608562691132,0.666938034254939,3.3132841304588,28.2866666666667,35.3233333333333
Richmond,Essendon,23.0666666666667,32.1851351351351,0.395309326667708,2.3982394124758,30.4666666666667,33.6833333333333
Box Hill,Preston,22.65,31.6415902140673,0.396979700400321,2.74855706986832,29.0133333333333,34.0033333333333
CBD,Caroline Springs,26.9,31.4532710280374,0.169266580967933,1.67610134519124,30.5366666666667,31.88
Brighton,CBD,17.1,30.936292834891,0.809139931864969,3.58807410039379,27.3533333333333,33.45
Flemington,East Kew,17.3666666666667,30.8524464831804,0.776532427054535,3.32547130364999,27.79,33.4066666666667
Moonee Ponds,CBD,17.1166666666667,30.844,0.801986368062318,2.64596786562988,28.5366666666667,32.55
CBD,Heidelberg,21.1833333333333,30.7630841121495,0.452230563909498,1.28250612079688,29.87,31.7166666666667
CBD,Oakleigh South,21.55,30.5330218068536,0.416845559482765,2.98237131928651,28.1733333333333,32.47
Yarraville,St Kilda,19.4333333333333,30.2960244648318,0.558972099391002,2.95013504876985,27.5266666666667,32.59
Braybrook,Carlton,18,30.1446483180428,0.674702684335712,3.3880310698877,26.36,32.9333333333333
Footscray,Richmond,18.5166666666667,30.1363363363363,0.627524914653628,2.26568182503946,28.3,31.9833333333333
Camberwell,CBD,16.0833333333333,30.1289719626168,0.87330395622488,4.36600608117804,24.5833333333333,33.52
CBD,Doncaster,21.5666666666667,29.9722741433022,0.389749960276763,1.1268054320904,29.2033333333333,30.6833333333333
Berwick,Dandenong North,20.05,29.810824742268,0.486824176671723,4.3040873669937,26.3166666666667,32.94
Clayton,Frankston,24.4833333333333,29.2267584097859,0.193740983381318,1.02335388835225,28.27,29.9566666666667
Melbourne Uni,Williamstown,20.3,29.1412844036697,0.435531251412302,2.76720822114049,27.5866666666667,30.64
West Melbourne Port,Truganina,22.65,28.9742268041237,0.279215311440341,0.992629144907781,28.22,29.71
West Melbourne Port,Somerton,24.4833333333333,28.8695512820513,0.179151175577316,1.65523171480826,27.36,30.2933333333333
Collingwood,Essendon,18.5166666666667,28.2504587155963,0.52567733837604,1.02551667875933,27.6333333333333,28.8966666666667
Richmond,Footscray,19.15,28.2406906906907,0.474709696641812,2.14962726941147,26.7666666666667,29.75
Kew,CBD,13.2833333333333,27.636,1.08050188205772,3.59507299645638,23.69,31.31
Altona,West Melbourne Port,18.7166666666667,26.9560897435897,0.440218508116994,2.64613358787858,24.3833333333333,29.28
Northern Hospital Epping,Melbourne Airport,18.8166666666667,26.6614678899083,0.416907062351192,2.14857917600307,24.5833333333333,28.2666666666667
St Kilda,Yarraville,18.85,26.3423547400612,0.397472400003245,2.14043658784243,24.2333333333333,27.7566666666667
Clifton Hill,Prahran,10.3,25.935626911315,1.51802203022476,2.82812563156431,23.9966666666667,27.98
CBD,Coburg,17.75,25.8973520249221,0.459005747882936,0.882793680927477,25.32,26.5066666666667
CBD,Camberwell,17.0833333333333,25.7697819314642,0.508475039890586,2.13020989266277,23.9366666666667,27.5633333333333
Kew,South Yarra,12.8666666666667,25.7591743119266,1.00200836621191,3.08131355787881,22.22,28.66
Richmond,West Melbourne,11.6666666666667,25.7480122324159,1.20697247706422,1.71655537930454,24.57,26.8833333333333
